Time resolution is 1 ps
Starting full dual-port RAM test
Read from addr 0: 00000000
Read from addr 1: 00000001
Read from addr 2: 00000002
Read from addr 3: 00000003
Read from addr 4: 00000004
Read from addr 5: 00000005
Read from addr 6: 00000006
Read from addr 7: 00000007
Read from addr 8: 00000008
Read from addr 9: 00000009
Read from addr 10: 0000000a
Read from addr 11: 0000000b
Read from addr 12: 0000000c
Read from addr 13: 0000000d
Read from addr 14: 0000000e
Read from addr 15: 0000000f
Read from addr 16: 00000010
Read from addr 17: 00000011
Read from addr 18: 00000012
Read from addr 19: 00000013
Read from addr 20: 00000014
Read from addr 21: 00000015
Read from addr 22: 00000016
Read from addr 23: 00000017
Read from addr 24: 00000018
Read from addr 25: 00000019
Read from addr 26: 0000001a
Read from addr 27: 0000001b
Read from addr 28: 0000001c
Read from addr 29: 0000001d
Read from addr 30: 0000001e
Read from addr 31: 0000001f
Read from addr 32: 00000020
Read from addr 33: 00000021
Read from addr 34: 00000022
Read from addr 35: 00000023
Read from addr 36: 00000024
Read from addr 37: 00000025
Read from addr 38: 00000026
Read from addr 39: 00000027
Read from addr 40: 00000028
Read from addr 41: 00000029
Read from addr 42: 0000002a
Read from addr 43: 0000002b
Read from addr 44: 0000002c
Read from addr 45: 0000002d
Read from addr 46: 0000002e
Read from addr 47: 0000002f
Read from addr 48: 00000030
Read from addr 49: 00000031
Read from addr 50: 00000032
Read from addr 51: 00000033
Read from addr 52: 00000034
Read from addr 53: 00000035
Read from addr 54: 00000036
Read from addr 55: 00000037
Read from addr 56: 00000038
Read from addr 57: 00000039
Read from addr 58: 0000003a
Read from addr 59: 0000003b
Read from addr 60: 0000003c
Read from addr 61: 0000003d
Read from addr 62: 0000003e
Read from addr 63: 0000003f
Read from addr 64: 00000040
Read from addr 65: 00000041
Read from addr 66: 00000042
Read from addr 67: 00000043
Read from addr 68: 00000044
Read from addr 69: 00000045
Read from addr 70: 00000046
Read from addr 71: 00000047
Read from addr 72: 00000048
Read from addr 73: 00000049
Read from addr 74: 0000004a
Read from addr 75: 0000004b
Read from addr 76: 0000004c
Read from addr 77: 0000004d
Read from addr 78: 0000004e
Read from addr 79: 0000004f
Read from addr 80: 00000050
Read from addr 81: 00000051
Read from addr 82: 00000052
Read from addr 83: 00000053
Read from addr 84: 00000054
Read from addr 85: 00000055
Read from addr 86: 00000056
Read from addr 87: 00000057
Read from addr 88: 00000058
Read from addr 89: 00000059
Read from addr 90: 0000005a
Read from addr 91: 0000005b
Read from addr 92: 0000005c
Read from addr 93: 0000005d
Read from addr 94: 0000005e
Read from addr 95: 0000005f
Read from addr 96: 00000060
Read from addr 97: 00000061
Read from addr 98: 00000062
Read from addr 99: 00000063
Read from addr 100: 00000064
Read from addr 101: 00000065
Read from addr 102: 00000066
Read from addr 103: 00000067
Read from addr 104: 00000068
Read from addr 105: 00000069
Read from addr 106: 0000006a
Read from addr 107: 0000006b
Read from addr 108: 0000006c
Read from addr 109: 0000006d
Read from addr 110: 0000006e
Read from addr 111: 0000006f
Read from addr 112: 00000070
Read from addr 113: 00000071
Read from addr 114: 00000072
Read from addr 115: 00000073
Read from addr 116: 00000074
Read from addr 117: 00000075
Read from addr 118: 00000076
Read from addr 119: 00000077
Read from addr 120: 00000078
Read from addr 121: 00000079
Read from addr 122: 0000007a
Read from addr 123: 0000007b
Read from addr 124: 0000007c
Read from addr 125: 0000007d
Read from addr 126: 0000007e
Read from addr 127: 0000007f
Read from addr 128: 00000080
Read from addr 129: 00000081
Read from addr 130: 00000082
Read from addr 131: 00000083
Read from addr 132: 00000084
Read from addr 133: 00000085
Read from addr 134: 00000086
Read from addr 135: 00000087
Read from addr 136: 00000088
Read from addr 137: 00000089
Read from addr 138: 0000008a
Read from addr 139: 0000008b
Read from addr 140: 0000008c
Read from addr 141: 0000008d
Read from addr 142: 0000008e
Read from addr 143: 0000008f
Read from addr 144: 00000090
Read from addr 145: 00000091
Read from addr 146: 00000092
Read from addr 147: 00000093
Read from addr 148: 00000094
Read from addr 149: 00000095
Read from addr 150: 00000096
Read from addr 151: 00000097
Read from addr 152: 00000098
Read from addr 153: 00000099
Read from addr 154: 0000009a
Read from addr 155: 0000009b
Read from addr 156: 0000009c
Read from addr 157: 0000009d
Read from addr 158: 0000009e
Read from addr 159: 0000009f
Read from addr 160: 000000a0
Read from addr 161: 000000a1
Read from addr 162: 000000a2
Read from addr 163: 000000a3
Read from addr 164: 000000a4
Read from addr 165: 000000a5
Read from addr 166: 000000a6
Read from addr 167: 000000a7
Read from addr 168: 000000a8
Read from addr 169: 000000a9
Read from addr 170: 000000aa
Read from addr 171: 000000ab
Read from addr 172: 000000ac
Read from addr 173: 000000ad
Read from addr 174: 000000ae
Read from addr 175: 000000af
Read from addr 176: 000000b0
Read from addr 177: 000000b1
Read from addr 178: 000000b2
Read from addr 179: 000000b3
Read from addr 180: 000000b4
Read from addr 181: 000000b5
Read from addr 182: 000000b6
Read from addr 183: 000000b7
Read from addr 184: 000000b8
Read from addr 185: 000000b9
Read from addr 186: 000000ba
Read from addr 187: 000000bb
Read from addr 188: 000000bc
Read from addr 189: 000000bd
Read from addr 190: 000000be
Read from addr 191: 000000bf
Read from addr 192: 000000c0
Read from addr 193: 000000c1
Read from addr 194: 000000c2
Read from addr 195: 000000c3
Read from addr 196: 000000c4
Read from addr 197: 000000c5
